,School,School website,Number of positions,Position detail link,Post date,Position,Specialization,Deadline
39,University of Wisconsin-Parkside,https://www.uml.edu/,1 ,http://www.asc41.com/dir3/ads/uw-parkside0818.pdf,9/1/18 - 12/1/18,Assistant Professor,"Criminal Justice, Criminology or closely related field","December 3, 2018"
40,University of Massachusetts Lowell,https://www.uml.edu/,1 ,http://www.asc41.com/dir3/ads/uml0818.pdf,8/31/18 - 10/1/18,Assistant Professor - Criminal Justice,Criminal Justice,Open until filled
41,"North Central College, Naperville, IL",http://www.northcentralcollege.edu,2 ,http://www.asc41.com/dir3/ads/northcentral0818.pdf,8/31/18 - 10/1/18,Assistant/Associate Professor of Sociology,"Environmental Studies, Global Studies, Gender and Sexuality Studies or College Scholars","November 1, 2018"
42,Pennsylvania State University,http://www.psu.edu,1 ,http://www.asc41.com/dir3/ads/psuS-C0818.pdf,8/31/18 - 10/1/18,"Assistant/Associate/Professor, Sociology and Criminology","Race and ethnicity, with an emphasis on African Americans",Open until filled
43,Northern Arizona University,http://nau.edu/criminolgy-and-criminal justice/,1 ,http://www.asc41.com/dir3/ads/nau0818.pdf,8/29/18 - 10/29/18,Assistant Professor,"Transnational crime, global justice, indigenous justice, and community based research","October 25, 2018"
44,Boise State University,http://boisestate.edu,1 ,http://www.asc41.com/dir3/ads/boisestate0818.pdf,8/29/18 - 9/29/18,Associate Professor,"Criminal Justice, Criminology","October 1, 2018"
45,Pennsylvania State University,http://www.psu.edu,1 ,http://www.asc41.com/dir3/ads/psu-PS0818.pdf,8/28/18 - 9/28/18,Postdoctoral Scholar in Sentencing Research and Policy,Statistics or methods of causal inference and courts or sentencing,Open until filled
46,Randolph-Macon College,http://www.rmc.edu,1 ,http://www.asc41.com/dir3/ads/rmc0818.pdf,8/28/18 - 9/28/18,Assistant Professor Criminology,Criminology and Criminological Theory,"September 21, 2018"
47,Suffolk University,http://www.suffolk.edu,1 ,http://www.asc41.com/dir3/ads/suffolk0818.pdf,8/28/18 - 10/28/18,"Assistant Professor, Sociology/Criminology, Tenure-track","Areas of specialization are open, but preference will be given to candidates who can contribute to the graduate program concentrations in Victim Advocacy and/or Youth, Crime, and Justice","December 1, 2018"
48,Center for Court Innovation,http://courtinnovation.org,1 ,http://www.asc41.com/dir3/ads/cci0818.pdf,8/28/18 - 9/28/18,Senior Research and Data Associate,Research and Jail/Justice Reform,"September 21, 2018"
49,University of Colorado Colorado Springs,http://www.uccs.edu,2 ,http://www.asc41.com/dir3/ads/uccs082818.pdf,8/28/18 - 9/28/18,Assistant Professor of Criminal Justice,"Preference will be given to applicants with expertise in criminal justice policy, courts, research methods, forensic sciences, and/or policing","September 14, 2018"
50,USC/Dept. of Criminology and Criminal Justice,http://artsandsciences.sc.edu/crju/,1 ,http://www.asc41.com/dir3/ads/sc0818.pdf,8/24/18 - 10/1/18,Assistant Professor,"Drug policy, victimology and/or crime prevention","September 30, 2018"
51,Pennsylvania State University,http://www.psu.edu,1 ,http://www.asc41.com/dir3/ads/psu0818.pdf,8/23/18 - 9/23/18,Assistant/Associate/Professor of Criminology,Criminology and Public Policy,Open until filled
52,Norwich University,http://www.norwich.edu,2 ,http://www.asc41.com/dir3/ads/norwich0818.pdf,8/23/18 - 9/23/18,Assistant Professor of Criminal Justice,"Policing, Comparative CJ, Juvenile Justice, Restorative Justice, Intern. Security, Cyber Dimensions, Research Methods, Data Analytics, Law & Society",Open until filled
53,Pacific Lutheran University,https://www.plu.edu/,1 ,http://www.asc41.com/dir3/ads/plu0818.pdf,8/23/18 - 9/23/18,Assistant Professor of Sociology,Criminology and Race,"October 1, 2018"
54,University of Central Florida,https://www.ucf.edu/faculty/cluster/violence%20against%20women/,5 ,http://www.asc41.com/dir3/ads/ucfVAW0818.pdf,8/23/18 - 11/23/18,"Assistant, Associate, and Full Professor – Violence Against Women",Health related violence against women; causes and consequences of violence; physical and mental health correlates; victim services; and healthcare,Review of applications will begin immediately and continue until the positions are filled
55,University of Central Florida,https://sciences.ucf.edu/sociology,1 ,http://www.asc41.com/dir3/ads/ucf_C-D0818.pdf,8/17/18 - 11/17/18,Assistant Professor,Crime and Deviance,Open until filled
56,University of Central Florida,https://sciences.ucf.edu/sociology,1 ,http://www.asc41.com/dir3/ads/ucf_All Spec0818.pdf,8/17/18 - 11/17/18,Assistant Professor or Associate Professor,All specialties accepted,Open until filled
57,Seattle University Criminal Justice Department,https://www.seattleu.edu/artsci/departments/criminal/,1 ,http://www.asc41.com/dir3/ads/seattleu0818.pdf,8/17/18 - 11/17/18,"Assistant Professor, Tenure-track",Please see second paragraph of ad in Full Details,"Review of applications begins October 1, 2018"
58,Rowan University,https://www.rowan.edu/home/,1 ,http://www.asc41.com/dir3/ads/rowan0818.pdf,8/17/18 - 9/24/18,Assistant or Associate Professor,Open,"September 30, 2018"
59,University of Colorado Boulder,https://www.colorado.edu/sociology/,1 ,http://www.asc41.com/dir3/ads/colorado0818.pdf,8/16/18 - 11/16/18,Assistant Professor,Criminology,October 1 (and until filled)
60,California Polytechnic State University,http://www.calpolyjobs.org,1 ,http://www.asc41.com/dir3/ads/calpoly0818.pdf,8/16/18 - 10/16/18,Assistant Professor of Criminology and Gender,PhD in one of the following: Criminology or Sociology with a specialization in Criminology or closely related field.,"October 15, 2018"
61,Kennesaw State University,http://www.kennesaw.edu/,1 ,http://www.asc41.com/dir3/ads/kennesaw0818.pdf,8/15/18 - 10/15/18,Assistant Professor of Criminal Justice,Criminal Justice,"September 30, 2018"
62,National Center for State Courts,http://www.ncsc.org/,1 ,http://www.asc41.com/dir3/ads/ncsc0818.pdf,8/15/18 - 10/15/18,Senior Research Consultant (TOPS),Community Corrections and Problem Solving Courts,Open Until Filled
63,"University of Toronto Mississauga, Department of Sociology",https://www.utm.utoronto.ca/sociology/department-sociology,1 ,http://www.asc41.com/dir3/ads/utoronto0818.pdf,8/10/18 - 10/10/18,Assistant Professor,Criminology and Law & Society,"October 9, 2018"
64,University of Rhode Island,http://www.uri.edu,1 ,http://www.asc41.com/dir3/ads/uri0818.pdf,8/10/18 - 10/10/18,"Assistant Professor, Criminology and Criminal Justice","Substantive specialties: collateral consequences, communities and crime, comparative justice, immigration and crime, mass incarceration, reentry",Open Until Filled
65,University of Northern Iowa,http://uni.edu,1 ,http://www.asc41.com/dir3/ads/uni0818.pdf,8/7/18 - 10/7/18,"Assistant Professor, Criminology",Policing,"October 1, 2018"
66,"University of Colorado Denver, School of Public Affairs",http://spa.ucdenver.edu,1 ,http://spa.ucdenver.edu,8/3/18 - 10/3/18,Assistant Professor,Open with preference for: Courts & Sentencing; Corrections; Juvenile Justice/Delinquency; Racial/Ethnic Inequalities in the Criminal Justice System,"September 14, 2018"
67,FSU College of Criminology,http://jobs.fsu.edu,Multiple ,http://www.asc41.com/dir3/ads/fsu0818.pdf,8/1/18 - 11/1/18,Multiple open rank Professor positions,Open,"October 29, 2018"
68,University of Central Florida - Criminal Justice Dept.,https://ccie.ucf.edu/criminaljustice/,2 ,http://www.asc41.com/dir3/ads/ucf0818.pdf,8/1/18 - 10/1/18,Assistant Professor,"Research and teaching within the areas of policing, corrections, juvenile justice, courts and sentencing, and/or theory and methods",Open until filled
69,Florida International University,https://www.fiu.edu/,1 ,http://www.asc41.com/dir3/ads/fiu0718.pdf,7/27/18 - 9/27/18,Assistant/Associate Professor,"Open, some preference will be given to applicants who can teach advanced quantitative, theoretical, and/or international-related classes in the department’s doctoral program in International Crime and Justice","October 1, 2018"
70,Illinois State University,http://criminaljustice.illinoisstate.edu/,1 ,http://www.asc41.com/dir3/ads/ilstu0718.pdf,7/25/18 - 9/25/18,Assistant/Associate Professor of Criminal Justice Sciences,Quantitative Methods and Community Corrections,"September 14, 2018"
